time,temperature_2m,relative_humidity_2m,cloud_cover,shortwave_radiation,actual_load_kw,actual_solar_gen,hour_sin,hour_cos,day_of_week,load_lag_24h,solar_lag_24h,target_solar_next_h,target_load_next_h
2025-12-17 00:00:00,4.6,92,100,0.0,1.152562043706562,0.0,0.0,1.0,2,0.9894483009308943,0.0,0.0,0.8595669138321926
2025-12-17 01:00:00,4.8,92,100,0.0,0.8595669138321926,0.0,0.25881904510252074,0.9659258262890683,2,1.0798543950332558,0.0,0.0,1.0701030421824052
2025-12-17 02:00:00,4.4,94,100,0.0,1.0701030421824052,0.0,0.49999999999999994,0.8660254037844387,2,0.8579934710923125,0.0,0.0,1.0004361131216555
2025-12-17 03:00:00,4.5,94,99,0.0,1.0004361131216555,0.0,0.7071067811865476,0.7071067811865476,2,0.9381840954481726,0.0,0.0,0.9708413040434505
2025-12-17 04:00:00,4.4,94,100,0.0,0.9708413040434505,0.0,0.8660254037844386,0.5000000000000001,2,1.0249885352521169,0.0,0.0,0.9288004449684942
2025-12-17 05:00:00,4.2,93,98,0.0,0.9288004449684942,0.0,0.9659258262890683,0.25881904510252074,2,1.008696234183871,0.0,0.0,1.1108402279104228
2025-12-17 06:00:00,3.9,95,100,0.0,1.1108402279104228,0.0,1.0,6.123233995736766e-17,2,0.9632371358411157,0.0,0.012,1.1344699108788603
2025-12-17 07:00:00,4.1,93,100,3.0,1.1344699108788603,0.012,0.9659258262890683,-0.25881904510252063,2,0.9644177275073014,0.016,0.216,0.9985760904095613
2025-12-17 08:00:00,5.8,87,100,54.0,0.9985760904095613,0.216,0.8660254037844387,-0.4999999999999998,2,1.0819964486677638,0.424,0.588,0.9910119248965219
2025-12-17 09:00:00,8.1,73,100,147.0,0.9910119248965219,0.588,0.7071067811865476,-0.7071067811865475,2,0.9526131757674756,1.084,0.976,0.9471282420444319
2025-12-17 10:00:00,9.8,66,100,244.0,0.9471282420444319,0.976,0.49999999999999994,-0.8660254037844387,2,1.1622382180162063,1.612,1.372,0.9613503193302304
2025-12-17 11:00:00,11.2,61,100,343.0,0.9613503193302304,1.372,0.258819045102521,-0.9659258262890682,2,1.1036586008733291,1.86,1.432,0.853407931037063
2025-12-17 12:00:00,11.7,65,100,358.0,0.853407931037063,1.432,1.2246467991473532e-16,-1.0,2,1.0497925999206663,1.896,1.528,1.1406131327213698
2025-12-17 13:00:00,13.0,57,100,382.0,1.1406131327213698,1.528,-0.2588190451025208,-0.9659258262890683,2,1.1834878574406091,1.58,0.972,0.997387365508157
2025-12-17 14:00:00,13.0,52,100,243.0,0.997387365508157,0.972,-0.4999999999999997,-0.8660254037844388,2,0.8702798349955871,0.48,0.632,1.0757858245099976
2025-12-17 15:00:00,12.6,53,100,158.0,1.0757858245099976,0.632,-0.7071067811865471,-0.7071067811865479,2,0.9389972699344692,0.74,0.248,1.164502951885379
